experiment_id,agent_type,outcome,duration_ms,steps_completed,failed_at,inconsistencies_count,retries,seed,failure_rate
BASE-0.0-0,baseline,success,430.340051651001,4,,0,0,42,0.0
BASE-0.0-1,baseline,success,434.56292152404785,4,,0,0,43,0.0
BASE-0.0-2,baseline,success,436.9621276855469,4,,0,0,44,0.0
BASE-0.0-3,baseline,success,433.92276763916016,4,,0,0,45,0.0
BASE-0.0-4,baseline,success,436.54942512512207,4,,0,0,46,0.0
BASE-0.0-5,baseline,success,434.77487564086914,4,,0,0,47,0.0
BASE-0.0-6,baseline,success,434.0479373931885,4,,0,0,48,0.0
BASE-0.0-7,baseline,success,435.5497360229492,4,,0,0,49,0.0
BASE-0.0-8,baseline,success,434.9987506866455,4,,0,0,50,0.0
BASE-0.0-9,baseline,success,435.7461929321289,4,,0,0,51,0.0
BASE-0.0-10,baseline,success,434.77392196655273,4,,0,0,52,0.0
BASE-0.0-11,baseline,success,435.8534812927246,4,,0,0,53,0.0
BASE-0.0-12,baseline,success,432.97481536865234,4,,0,0,54,0.0
BASE-0.0-13,baseline,success,430.96113204956055,4,,0,0,55,0.0
BASE-0.0-14,baseline,success,434.4320297241211,4,,0,0,56,0.0
BASE-0.0-15,baseline,success,435.95290184020996,4,,0,0,57,0.0
BASE-0.0-16,baseline,success,434.96108055114746,4,,0,0,58,0.0
BASE-0.0-17,baseline,success,435.50610542297363,4,,0,0,59,0.0
BASE-0.0-18,baseline,success,436.0182285308838,4,,0,0,60,0.0
BASE-0.0-19,baseline,success,434.44108963012695,4,,0,0,61,0.0
BASE-0.0-20,baseline,success,434.100866317749,4,,0,0,62,0.0
BASE-0.0-21,baseline,success,437.969446182251,4,,0,0,63,0.0
BASE-0.0-22,baseline,success,432.74593353271484,4,,0,0,64,0.0
BASE-0.0-23,baseline,success,438.1570816040039,4,,0,0,65,0.0
BASE-0.0-24,baseline,success,435.55760383605957,4,,0,0,66,0.0
BASE-0.0-25,baseline,success,434.6799850463867,4,,0,0,67,0.0
BASE-0.0-26,baseline,success,435.5452060699463,4,,0,0,68,0.0
BASE-0.0-27,baseline,success,436.8155002593994,4,,0,0,69,0.0
