experiment_id,agent_type,outcome,duration_s,inconsistencies_count,strategies_used,seed,failure_rate
BASELINE-42,baseline,success,4.0,0,,42,0.0
BASELINE-43,baseline,success,3.43,0,,43,0.0
BASELINE-44,baseline,success,3.43,0,,44,0.0
BASELINE-45,baseline,success,3.33,0,,45,0.0
BASELINE-46,baseline,success,3.39,0,,46,0.0
BASELINE-47,baseline,success,3.34,0,,47,0.0
BASELINE-48,baseline,success,4.3,0,,48,0.0
BASELINE-49,baseline,success,3.79,0,,49,0.0
BASELINE-50,baseline,success,3.45,0,,50,0.0
BASELINE-51,baseline,success,3.46,0,,51,0.0
BASELINE-52,baseline,success,3.53,0,,52,0.0
BASELINE-53,baseline,success,3.54,0,,53,0.0
BASELINE-54,baseline,success,3.69,0,,54,0.0
BASELINE-55,baseline,success,3.46,0,,55,0.0
BASELINE-56,baseline,success,3.9,0,,56,0.0
BASELINE-57,baseline,success,3.46,0,,57,0.0
BASELINE-58,baseline,success,3.29,0,,58,0.0
BASELINE-59,baseline,success,3.84,0,,59,0.0
BASELINE-60,baseline,success,3.51,0,,60,0.0
BASELINE-61,baseline,success,3.72,0,,61,0.0
PLAYBOOK-42,playbook,success,3.42,0,,42,0.0
PLAYBOOK-43,playbook,success,3.41,0,,43,0.0
PLAYBOOK-44,playbook,success,3.44,0,,44,0.0
PLAYBOOK-45,playbook,success,3.49,0,,45,0.0
PLAYBOOK-46,playbook,success,3.48,0,,46,0.0
PLAYBOOK-47,playbook,success,3.31,0,,47,0.0
PLAYBOOK-48,playbook,success,3.42,0,,48,0.0
PLAYBOOK-49,playbook,success,3.33,0,,49,0.0
PLAYBOOK-50,playbook,success,3.43,0,,50,0.0
PLAYBOOK-51,playbook,success,3.45,0,,51,0.0
PLAYBOOK-52,playbook,failure,2.29,0,,52,0.0
PLAYBOOK-53,playbook,success,3.47,0,,53,0.0
PLAYBOOK-54,playbook,success,3.42,0,,54,0.0
PLAYBOOK-55,playbook,success,3.5,0,,55,0.0
PLAYBOOK-56,playbook,success,3.94,0,,56,0.0
